,date,close,open,high,low,volume
576,2021-02-25,309969.0,302647.0,309980.0,302647.0,1280086.0
577,2021-02-26,301295.0,308949.0,308949.0,298828.0,1361310.0
578,2021-03-02,304387.0,302168.0,309650.0,302074.0,1749871.0
579,2021-03-03,308299.0,304120.0,308304.0,302937.0,2236687.0
580,2021-03-04,304349.0,307688.0,307688.0,302254.0,1278951.0
581,2021-03-05,302626.0,303616.0,303698.0,298245.0,1187225.0
582,2021-03-08,299611.0,303199.0,305565.0,299264.0,1928301.0
583,2021-03-09,297612.0,298996.0,300049.0,292936.0,1534217.0
584,2021-03-10,295812.0,298076.0,301395.0,295153.0,905646.0
585,2021-03-11,301370.0,296430.0,302837.0,296430.0,1349204.0
586,2021-03-12,305439.0,303073.0,306143.0,303073.0,1669085.0
587,2021-03-15,304571.0,305706.0,306517.0,303614.0,1161784.0
588,2021-03-16,306717.0,304923.0,307154.0,304923.0,1123921.0
589,2021-03-17,304750.0,306776.0,306957.0,302720.0,814990.0
590,2021-03-18,306601.0,305493.0,309019.0,305493.0,1232596.0
591,2021-03-19,303953.0,306301.0,306301.0,302249.0,1068468.0
592,2021-03-22,303546.0,304001.0,304811.0,301960.0,903022.0
593,2021-03-23,300474.0,303825.0,305879.0,300305.0,1331209.0
594,2021-03-24,299635.0,299632.0,300654.0,297104.0,978431.0
595,2021-03-25,300833.0,299567.0,302463.0,298783.0,940353.0
596,2021-03-26,304101.0,301279.0,304186.0,301279.0,1036383.0
597,2021-03-29,303604.0,304771.0,305421.0,302539.0,1266136.0
598,2021-03-30,307000.0,303844.0,307457.0,303844.0,1007273.0
599,2021-03-31,306142.0,307339.0,309389.0,306140.0,1132040.0
600,2021-04-01,308740.0,307377.0,309088.0,306968.0,910102.0
601,2021-04-02,311280.0,310472.0,312158.0,310160.0,792704.0
602,2021-04-05,312083.0,312123.0,312720.0,310186.0,1084791.0
603,2021-04-06,312708.0,312380.0,313929.0,311019.0,1279017.0
604,2021-04-07,313741.0,312907.0,314619.0,312533.0,1984773.0
605,2021-04-08,314326.0,313725.0,314581.0,312209.0,1357293.0
606,2021-04-09,313188.0,314651.0,315604.0,312524.0,1781243.0
607,2021-04-12,313559.0,313488.0,314727.0,312791.0,1048782.0
608,2021-04-13,316908.0,313821.0,317326.0,313699.0,1705800.0
609,2021-04-14,318238.0,316995.0,318832.0,316212.0,1776265.0
610,2021-04-15,319433.0,318073.0,320448.0,317899.0,1312991.0
611,2021-04-16,319862.0,319408.0,320676.0,318567.0,961265.0
612,2021-04-19,319884.0,320111.0,321445.0,319340.0,1046073.0
613,2021-04-20,322070.0,319831.0,322082.0,319596.0,1278692.0
614,2021-04-21,317166.0,321424.0,321424.0,316549.0,1738684.0
615,2021-04-22,317752.0,317452.0,319697.0,317452.0,1738661.0
616,2021-04-23,318610.0,317347.0,318870.0,314654.0,2226246.0
617,2021-04-26,321753.0,319134.0,321753.0,319134.0,1278733.0
618,2021-04-27,321542.0,321830.0,322305.0,320325.0,1534230.0
619,2021-04-28,318147.0,321721.0,321969.0,317655.0,1397886.0
620,2021-04-29,317407.0,318475.0,320041.0,316106.0,1193355.0
621,2021-04-30,314786.0,317643.0,317943.0,314338.0,1340455.0
622,2021-05-03,312720.0,314905.0,317426.0,312070.0,1023778.0
623,2021-05-04,314737.0,313139.0,314738.0,310978.0,1266434.0
624,2021-05-06,317874.0,314772.0,317874.0,313364.0,1220576.0
625,2021-05-07,319720.0,317963.0,320511.0,317963.0,971594.0
626,2021-05-10,324930.0,320146.0,325590.0,320146.0,996027.0
627,2021-05-11,320943.0,323992.0,323992.0,319225.0,1077242.0
628,2021-05-12,316166.0,320936.0,321283.0,313804.0,1407536.0
629,2021-05-13,312211.0,314697.0,316193.0,310388.0,1083030.0
630,2021-05-14,315332.0,313135.0,316231.0,313135.0,822496.0
631,2021-05-17,313452.0,316321.0,317301.0,312132.0,758876.0
632,2021-05-18,317305.0,313538.0,317640.0,313538.0,774389.0
633,2021-05-20,316228.0,317453.0,317453.0,314048.0,753818.0
634,2021-05-21,315642.0,317191.0,319801.0,314946.0,787242.0
635,2021-05-24,314430.0,315591.0,316327.0,313781.0,580678.0
636,2021-05-25,317132.0,315293.0,317310.0,314830.0,612976.0
637,2021-05-26,316843.0,317191.0,318397.0,316030.0,1269999.0
638,2021-05-27,316551.0,317084.0,317386.0,314237.0,1082006.0
639,2021-05-28,318873.0,317209.0,319866.0,317185.0,954442.0
640,2021-05-31,320392.0,319206.0,320429.0,317987.0,1108068.0
641,2021-06-01,322187.0,320712.0,323317.0,319918.0,1448476.0
642,2021-06-02,322423.0,322440.0,324107.0,321610.0,1471101.0
643,2021-06-03,324743.0,322496.0,325850.0,322496.0,1558863.0
644,2021-06-04,324008.0,324617.0,324619.0,321867.0,1363013.0
645,2021-06-07,325212.0,324459.0,326441.0,323340.0,1733348.0
646,2021-06-08,324783.0,325183.0,326467.0,324256.0,1928236.0
647,2021-06-09,321618.0,324508.0,324649.0,321618.0,1942538.0
648,2021-06-10,322464.0,321694.0,323539.0,321031.0,1868225.0
649,2021-06-11,324932.0,322698.0,325158.0,322698.0,1645508.0
650,2021-06-14,325213.0,324960.0,325449.0,323851.0,1615659.0
651,2021-06-15,325863.0,325317.0,326280.0,324790.0,1734497.0
652,2021-06-16,327868.0,325906.0,328196.0,325668.0,2345810.0
653,2021-06-17,326496.0,327620.0,327620.0,325132.0,1848671.0
654,2021-06-18,326793.0,326568.0,327576.0,326258.0,1595440.0
655,2021-06-21,324079.0,326418.0,326418.0,322556.0,1484298.0
656,2021-06-22,326388.0,324579.0,326763.0,324579.0,1666696.0
657,2021-06-23,327619.0,326573.0,328188.0,326307.0,1040834.0
658,2021-06-24,328610.0,328147.0,329227.0,327785.0,1282979.0
659,2021-06-25,330284.0,328918.0,331608.0,328918.0,1198187.0
660,2021-06-28,330189.0,330546.0,331169.0,329130.0,1404938.0
661,2021-06-29,328668.0,330526.0,330542.0,327663.0,1181941.0
662,2021-06-30,329668.0,328863.0,330573.0,328863.0,1581040.0
663,2021-07-01,328206.0,329792.0,330012.0,327810.0,1136651.0
664,2021-07-02,328178.0,328281.0,329568.0,327819.0,1006702.0
665,2021-07-05,329321.0,328529.0,329893.0,328529.0,839276.0
666,2021-07-06,330521.0,329544.0,331351.0,329544.0,1017822.0
667,2021-07-07,328534.0,330359.0,330359.0,327766.0,1115625.0
668,2021-07-08,325268.0,328768.0,329571.0,325241.0,1516034.0
